,genre_list
814,nerdcore
815,bambuco
816,yacht_rock
817,rocksteady
818,samba
819,christian_edm
820,east_bay_grease
821,great_american_songbook
822,hong_kong_english_pop
823,advertising
824,disco
825,porro
826,expressionism
827,southern_gospel
828,joik
829,western
830,urban__contemporary
831,country_comedy
832,low_rock
833,southern_soul
834,urban_contemporary_gospel
835,uk_bass
836,gh_brothers
837,chinese_classical
838,tejano
839,musician
840,space_age_pop
841,art
842,traditional_tunes
843,fingerstyle_and_classical_guitar
844,rock_pop
845,storytelling
846,balada
847,nengón
848,soviet
849,stoner_metal
850,classical_pop
851,industrial_metal
852,dansband
853,melodic_dubstep
854,rock_electronic
855,flamenco_fusion
856,grebo
857,future_soul
858,bengali
859,light_rock
860,yiddish
861,glam_punk
862,comedy_rap
863,just_intonation
864,catalan
865,throat_singing
866,roots_reggae
867,electronic_indie_pop
868,outsider
869,jazz_soul
870,champeta
871,lyrical_pop
872,garba
873,chamber_jazz
874,traditional_historical
875,british_dance_band
876,whiskey
877,neoclassical_jazz
878,chinese_rock
879,shoe_gaze
880,pop_alternative
881,rock&roll_revival
882,filmi_pop
883,blackened_death_metal
884,dark_pop
885,urbano
886,pop_noir
887,ska_punk
888,cuban_rumba
889,fingerstyle_guitar
890,swing_noir
891,highlife
892,sephardic
893,third_wave_ska
894,synthwave
895,swedish_pop
896,roots_soul
897,country_gospel
898,burlesque
899,gangsta_rap
900,video_game
901,english
902,greek
903,cymraeg
904,art_pop
905,gregorian_chant
906,liquid_funk
907,blue_eyed_soul
908,russian_chanson
909,symphonic_rock
910,rhythm_&_blues
911,nasheed
912,kan_ha_diskan
913,bassline
914,punjabi_folk
915,afro_cuban
916,remixes
917,traditional_irish
918,irish_folk
919,soul_funk
920,psychedelic_folk
921,latin_trap
922,electro_swing
923,horrorcore
924,dark_wave
925,jewish_rock
926,french_pop
927,house
928,retro
929,chicano_rock
930,blues_and_roots
931,gothic_metal
932,jazz_rap
933,noise
934,electronic_r&b
935,folk_blues
936,gothabilly
937,brazilian_jazz
938,contemporary_catholic_liturgical
939,jazz_fusion
940,downbeat
941,mumble_rap
