,genre_list
721,Nu-disco
722,Cuban_rumba
723,Surreal_humour
724,British_blues
725,Sami_language
726,Inspirational_music
727,Drone_music
728,Progressive_pop
729,Ambient_Folk_(page_does_not_exist)
730,Protest_songs
731,Ringbang
732,Medieval_music
733,Great_American_Songbook
734,Latin_music
735,Fingerstyle
736,Powerviolence
737,Folk_music_of_Punjab
738,Baião_(music)
739,Reggaeton
740,Zouk
741,Orchestral_music
742,Pop_Music
743,Urban_adult_contemporary
744,Yacht_rock
745,Music_of_Brazil
746,Neo-progressive_rock
747,Free_funk
748,Cantopop
749,Mafioso_rap
750,Thai_hip_hop
751,Chanson
752,New_Jack_Swing
753,Deep_soul
754,Electronic_dance_music
755,Popular_culture
756,Rapping
757,Soukous
758,Electropop
759,Songwriter
760,Sound_therapy
761,Dance-rock
762,"""Rock_N_Roll"""
763,Garage_punk_(fusion_genre)
764,Lofi
765,Thrashcore
766,Alt-Rock
767,Pop-rap
768,Free_improvisation
769,Garage_Rock
770,Folktronica
771,SoundCloud_rap
772,Music_in_professional_wrestling
773,Music_of_Italy
774,Rap_Music
775,Power_metal
776,Mellow_&amp;_Acoustic_Rock_(page_does_not_exist)
777,Antifolk
778,Jangle_pop
779,Soul_rock
780,Boogie-woogie
781,Grind_core
782,Trap_music_(hip_hop)
783,Jewish_music
784,Nightcore
785,Eurobeat
786,Folk_metal
787,2_tone_(type_of_music)
788,Folk_(music)
789,Acid_rock
790,Progressive_Metal
791,Music_of_Hawaii
792,Postminimalism
793,Garage_rock
794,20th-century_classical_music
795,Hawaiian_music
796,Catalan_rumba
797,Symphonic_black_metal
798,Garage_rock_revival
799,Honky_tonk_music
800,Instrumental_hip_hop
801,Post-Hardcore
802,Liquid_funk
803,Industrial_metal
804,Avantgarde_music
805,Proto_punk
806,Red_dirt_(music)
807,Korean_hip_hop
808,Reggae_fusion
809,Guaguancó
810,Doo_Wop
811,Smooth_Jazz
812,Canadians
813,Singer/Songwriter
814,Crooning
815,Indie_band
816,Jungle_music
817,Noise_rock
818,Christian_ska
819,Rhythm_and_Blues
820,Brazilian_music
821,Dialectician
822,Contemporary_blues
823,Music_of_Argentina
824,Bachata_(music)
825,Light_rock
826,Mexitón_(page_does_not_exist)
827,Western_film
828,Mathcore
829,Music_of_Punjab
830,Blackened_death_metal
831,Dance-punk
832,Hip_Hop_Soul
833,Parody_music
834,Brega_(music)
835,Musical_theater
836,Contemporary_folk_music
