,genre_list
1361,electronic_dance_music
1362,gangsta_rap
1363,post-industrial
1364,groove_rock
1365,french_music
1366,television_score
1367,soul-funk
1368,electropop_alternative_pop
1369,trap_music
1370,cybergrind
1371,noisecore
1372,sympho_rock
1373,rockney
1374,blues_music
1375,brazilian_rock
1376,vocal_group
1377,greek_music
1378,smooth_jazz
1379,jazz-rock_fusion
1380,ballad
1381,east_coast_rap
1382,ethereal_wave
1383,american_music
1384,freestyle
1385,christian_metal
1386,indie_folk
1387,composer
1388,gregorian_chant
1389,progressive_house
1390,trad_irish
1391,pop_rock
1392,elevator_music
1393,melodic_death_metal
1394,rock_soul
1395,hypnagogic_pop
1396,edm
1397,techno-pop
1398,funk_music
1399,roots
1400,lovers_rock
1401,2-step
1402,persian
1403,country_swing
1404,sound_alchemy
1405,electro-acoustic
1406,pop-soul
1407,east_coast_hip_hop
1408,post-hardcore
1409,proto_punk
1410,old_school_hip_hop
1411,theatre
1412,and_lounge
1413,cuban_son
1414,italian
1415,traditional_black_gospel
1416,musician
1417,stoner_rock
1418,hawaii_music
1419,art_song
1420,blues-rock
1421,wagnerian_rock
1422,samba_rock
1423,dance-punk
1424,cha-cha-cha
1425,trap
1426,·
1427,free_improv
1428,piano_pop_and_rock
1429,with_electronics
1430,art_music
1431,soca
1432,haitian_folk
1433,pop_country
1434,and_melodic
1435,folk_art_rock
1436,folk-noir
1437,tejano
1438,karaoke_music
1439,wonky_pop
1440,mumble_rap
1441,atonal
1442,roots_revival
1443,heartland_rock
1444,op
1445,college_rock
1446,reggae.
1447,downtown
1448,blues_soul_r_&_b_gospel_funk_folk
1449,irish_folk
1450,groove_metal
1451,barrelhouse
1452,anti-folk
1453,afro-son
1454,death_n_roll
1455,chacarera
1456,mariachi
1457,psychedelia
1458,christian_rock
1459,blue-eyed_soul
1460,pop_folk
1461,intuitive_folk
1462,latin
1463,electro-grime
1464,bengali
1465,noise
1466,chouval_bwa
1467,dansband_music
1468,kanto
1469,electro
1470,ethno_jazz
1471,latin_american_music
1472,grebo
1473,riot_goth
1474,white_power_music
1475,afropop
1476,reggae_pop
1477,rock_and_roll_blues
1478,just_intonation
1479,new_jack_swing
1480,third-wave_ska
1481,celtic_pop
1482,opera_and_comic_opera
1483,neo-bop_jazz
1484,gothic_folk
1485,euro_disco
1486,blues_revival
1487,boogaloo
1488,progressive_alterenative
1489,twee_pop
1490,country_folk
1491,lofi
1492,grindcore
1493,inspirational_country
1494,film_music
1495,anarcho-punk
1496,theatre_performer
1497,nuevo_flamenco
1498,latin_music
1499,son_cubano
1500,progg
1501,shoegaze
1502,christian_&_gospel
1503,quiet_storm
1504,music_hall
1505,orchestral
1506,memphis_soul
1507,farce
1508,new_orleans_jazz
1509,slapstick
1510,classic_blues
1511,comedy_rap
1512,northwest_hip_hop
1513,mor
1514,meditation
1515,free_improvisation
