label,frequency,female,male,female%,male%,max_list_length,min_list_length,mean_list_length
chillout,4,3.0,1.0,0.75,0.25,13.0,5.0,7.5
quiet_storm,4,2.0,2.0,0.5,0.5,6.0,4.0,4.75
middle_eastern,4,0.0,4.0,0.0,1.0,9.0,3.0,5.25
east_coast_blues,4,0.0,4.0,0.0,1.0,5.0,2.0,3.5
mafioso_rap,4,0.0,4.0,0.0,1.0,3.0,2.0,2.5
progressive_folk,4,0.0,4.0,0.0,1.0,6.0,3.0,4.5
improvised,4,1.0,3.0,0.25,0.75,8.0,3.0,4.25
space,4,2.0,2.0,0.5,0.5,13.0,3.0,7.25
alternative_folk,4,2.0,2.0,0.5,0.5,8.0,1.0,3.75
chillwave,4,0.0,4.0,0.0,1.0,6.0,2.0,4.0
crooner,4,2.0,2.0,0.5,0.5,5.0,1.0,3.0
música_popular_brasileira,4,0.0,4.0,0.0,1.0,4.0,1.0,2.5
rock_opera,4,1.0,3.0,0.25,0.75,4.0,4.0,4.0
brazilian,4,2.0,2.0,0.5,0.5,6.0,3.0,4.0
christian_alternative_rock,4,0.0,4.0,0.0,1.0,7.0,2.0,3.75
folk_baroque,4,0.0,4.0,0.0,1.0,5.0,2.0,3.25
islamic,4,0.0,4.0,0.0,1.0,5.0,3.0,4.0
hardcore_rap,4,0.0,4.0,0.0,1.0,6.0,3.0,4.0
exotica,4,3.0,1.0,0.75,0.25,6.0,3.0,4.5
soca,4,1.0,3.0,0.25,0.75,8.0,2.0,4.5
zouk,4,3.0,1.0,0.75,0.25,7.0,1.0,3.25
merengue,4,2.0,2.0,0.5,0.5,5.0,1.0,2.0
jesus,4,0.0,4.0,0.0,1.0,6.0,2.0,3.75
traditional_popular,4,1.0,3.0,0.25,0.75,3.0,2.0,2.5
sea_shanties,4,0.0,4.0,0.0,1.0,6.0,3.0,4.25
yacht_rock,3,1.0,2.0,0.3333333333333333,0.6666666666666666,6.0,3.0,4.333333333333333
go_go,3,1.0,2.0,0.3333333333333333,0.6666666666666666,7.0,2.0,4.666666666666667
mod_revival,3,0.0,3.0,0.0,1.0,6.0,3.0,4.333333333333333
contemporary_blues,3,0.0,3.0,0.0,1.0,3.0,2.0,2.6666666666666665
dirty_rap,3,0.0,3.0,0.0,1.0,5.0,3.0,4.333333333333333
spanish,3,1.0,2.0,0.3333333333333333,0.6666666666666666,4.0,2.0,3.0
traditional_jazz,3,0.0,3.0,0.0,1.0,45.0,4.0,18.666666666666668
american,3,2.0,1.0,0.6666666666666666,0.3333333333333333,5.0,1.0,3.6666666666666665
musician,3,0.0,3.0,0.0,1.0,4.0,2.0,2.6666666666666665
progressive_pop,3,0.0,3.0,0.0,1.0,73.0,4.0,27.0
emo_rap,3,0.0,3.0,0.0,1.0,7.0,4.0,5.333333333333333
improvisational_comedy,3,1.0,2.0,0.3333333333333333,0.6666666666666666,12.0,1.0,5.666666666666667
desert_rock,3,0.0,3.0,0.0,1.0,7.0,4.0,5.666666666666667
country_comedy,3,0.0,3.0,0.0,1.0,4.0,3.0,3.6666666666666665
christian_edm,3,3.0,0.0,1.0,0.0,2.0,2.0,2.0
musique_concrete,3,0.0,3.0,0.0,1.0,73.0,6.0,29.333333333333332
uk_funky,3,3.0,0.0,1.0,0.0,5.0,3.0,4.0
indie_punk,3,0.0,3.0,0.0,1.0,4.0,4.0,4.0
video_game,3,1.0,2.0,0.3333333333333333,0.6666666666666666,73.0,4.0,27.666666666666668
punk_rap,3,0.0,3.0,0.0,1.0,6.0,4.0,5.0
motown,3,3.0,0.0,1.0,0.0,5.0,3.0,4.333333333333333
pop_jazz,3,0.0,3.0,0.0,1.0,4.0,3.0,3.3333333333333335
tulsa_sound,3,0.0,3.0,0.0,1.0,12.0,5.0,8.0
symphonic_power_metal,3,0.0,3.0,0.0,1.0,5.0,1.0,2.6666666666666665
bedroom_pop,3,1.0,2.0,0.3333333333333333,0.6666666666666666,73.0,5.0,27.666666666666668
ranchera,3,0.0,3.0,0.0,1.0,12.0,4.0,7.0
jewish_rock,3,0.0,3.0,0.0,1.0,7.0,1.0,4.333333333333333
breton,3,1.0,2.0,0.3333333333333333,0.6666666666666666,3.0,1.0,2.0
french,3,0.0,3.0,0.0,1.0,3.0,1.0,2.0
college_rock,3,0.0,3.0,0.0,1.0,4.0,4.0,4.0
christmas,3,0.0,3.0,0.0,1.0,73.0,5.0,28.333333333333332
street_punk,3,0.0,3.0,0.0,1.0,9.0,5.0,6.333333333333333
physical_comedy,3,0.0,3.0,0.0,1.0,8.0,4.0,5.666666666666667
british_hip_hop,3,1.0,2.0,0.3333333333333333,0.6666666666666666,8.0,2.0,4.333333333333333
caribbean,3,1.0,2.0,0.3333333333333333,0.6666666666666666,8.0,2.0,4.333333333333333
deep_soul,3,1.0,2.0,0.3333333333333333,0.6666666666666666,6.0,4.0,4.666666666666667
modern_classical,3,0.0,3.0,0.0,1.0,5.0,2.0,3.3333333333333335
new_weird_america,3,2.0,1.0,0.6666666666666666,0.3333333333333333,9.0,4.0,6.333333333333333
steampunk,3,1.0,2.0,0.3333333333333333,0.6666666666666666,6.0,3.0,4.0
guajira,3,0.0,3.0,0.0,1.0,5.0,3.0,3.6666666666666665
electro_rock,3,3.0,0.0,1.0,0.0,5.0,3.0,3.6666666666666665
goth_rock,3,2.0,1.0,0.6666666666666666,0.3333333333333333,6.0,2.0,4.666666666666667
mainstream_jazz,3,1.0,2.0,0.3333333333333333,0.6666666666666666,45.0,5.0,18.333333333333332
west_coast_jazz,3,0.0,3.0,0.0,1.0,45.0,3.0,17.333333333333332
french_variety,3,0.0,3.0,0.0,1.0,3.0,2.0,2.6666666666666665
folk_jazz,3,0.0,3.0,0.0,1.0,45.0,4.0,18.0
melodic_metalcore,3,1.0,2.0,0.3333333333333333,0.6666666666666666,5.0,2.0,3.3333333333333335
glitch,3,0.0,3.0,0.0,1.0,5.0,2.0,4.0
free_funk,3,0.0,3.0,0.0,1.0,45.0,4.0,18.0
juke_joint_blues,3,0.0,3.0,0.0,1.0,4.0,2.0,2.6666666666666665
bambuco,3,0.0,3.0,0.0,1.0,9.0,4.0,5.666666666666667
ambient_pop,3,0.0,3.0,0.0,1.0,6.0,4.0,5.0
diy,3,0.0,3.0,0.0,1.0,5.0,2.0,4.0
paisley_underground,3,1.0,2.0,0.3333333333333333,0.6666666666666666,6.0,1.0,3.0
c_pop,3,2.0,1.0,0.6666666666666666,0.3333333333333333,6.0,2.0,4.0
chamber,3,0.0,3.0,0.0,1.0,6.0,2.0,4.0
