,artist,gender,category,retrieved,genre
171,Adam Ross,male,American_male_guitarists,Ross Adams,['charlotte nc indie']
172,Adam Sandler,male,American_male_singers,Adam Sandler,"['comedy', 'comic']"
173,Adam Schlesinger,male,American_male_guitarists,Adam Schlesinger,[]
174,Adam Schmitt,male,American_male_singers,Adam Schmitt,"['jangle pop', 'power pop', 'underground power pop']"
175,Adam Sherburne,male,American_male_guitarists,none,none
176,Adam Shoenfeld,male,American_male_guitarists,none,none
177,Adam Siegel,male,American_male_guitarists,Adam Siegel,[]
178,Adam Stanger,male,American_male_guitarists,none,none
179,Adam Stemple,male,American_male_guitarists,Adam Stemple,[]
180,Adam Thorn,male,American_male_guitarists,Adam Thorn,[]
181,Adam Torres,male,American_male_singer-songwriters,Adam Torres,[]
182,Adam Wade,male,American_male_singers,Adam Wade,['deep adult standards']
183,Adam Wexler,male,American_male_guitarists,Adam Wexler,[]
184,Adam Yauch,male,American_male_guitarists,none,none
185,Adamski,male,English_male_singers,Adamski,"['acid house', 'hip house']"
186,Adanna Duru,female,American_female_singers,Adanna Duru,[]
187,Add-2,male,African-American_male_rappers,Add-2,"['alternative hip hop', 'soul flow']"
188,Addie Graham,female,American_female_singers,none,none
189,Adeem,male,African-American_male_rappers,Adeem,['underground rap']
190,Adelaide Hall,female,African-American_female_singers,Adelaide Hall,"['cabaret', 'torch song']"
191,Adelaïde Leuhusen,female,Swedish_female_singers,none,none
192,Adele,female,English_female_pop_singers,Adele,"['british soul', 'pop', 'uk pop']"
193,Adele Holness,female,English_female_singers,Adele Holness,[]
194,Adele Leigh,female,English_female_singers,Adele Leigh,[]
195,Adele Ritchie,female,American_female_singers,none,none
196,Adem Ilhan,male,English_male_singers,none,none
197,Adepero Oduye,female,African-American_female_singers,none,none
198,Adeva,female,American_female_singers,Adeva Millesse,[]
199,Adeyto,female,French_female_singers,none,none
200,Adge Cutler,male,English_male_singers,none,none
201,Adi Braun,female,Canadian_female_singers,Adi Braun,"['cabaret', 'deep vocal jazz']"
202,Adia Victoria,female,American_female_country_singers,Adia Victoria,['alternative americana']
