,artist,gender,retrieved,genre
22889,Woody Rock,male,https://en.wikipedia.org/wiki/Woody_Rock,"Contemporary R&amp;B, Soul music, Hip hop soul, Gospel music"
22890,Elton John,male,https://en.wikipedia.org/wiki/Elton_John,"Rock music, Pop rock, Glam rock, Soft rock"
22891,Timo Somers,male,https://en.wikipedia.org/wiki/Timo_Somers,"Symphonic metal, Gothic metal"
22892,Lucia Elizabeth Vestris,female,none,none
22893,Dorothy Dandridge,female,none,none
22894,Yoann Fréget,male,https://en.wikipedia.org/wiki/Yoann_Fréget,
22895,Kris Wu,male,https://en.wikipedia.org/wiki/Kris_Wu,"C-pop, K-pop, Hip hop music, Contemporary R&amp;B"
22896,S Petit Nico,male,none,none
22897,Mike Williams,male,https://en.wikipedia.org/wiki/Mike_Williams_(singer),"Hardcore punk, Doom metal, Industrial music, Spoken word"
22898,Blair Tefkin,female,none,none
22899,Caroline Munro,female,none,none
22900,Joe Fonda,male,none,none
22901,Brian Courtney Wilson,male,https://en.wikipedia.org/wiki/Brian_Courtney_Wilson,"Contemporary Christian music, Urban music"
22902,Gareth Koch,male,none,none
22903,Jorge Morel,male,none,none
22904,Jesse Solomon,male,none,none
22905,Ruby Glover,female,none,none
22906,Julien Sagot,male,https://en.wikipedia.org/wiki/Julien_Sagot,Indie rock
22907,Marc Dupré,male,https://en.wikipedia.org/wiki/Marc_Dupré,"French Pop, Pop Rock"
22908,Laurie Beechman,female,none,none
22909,Luke Hurley,male,none,none
22910,Tom Wilson,male,https://en.wikipedia.org/wiki/Tom_Wilson_(musician),"Blues, Rock music"
22911,Tyga,male,https://en.wikipedia.org/wiki/Tyga,Hip hop music
22912,Duane Harden,male,https://en.wikipedia.org/wiki/Duane_Harden,"House music, Soul music"
22913,Enrico Cannio,male,none,none
22914,Zilla Mays,female,none,none
22915,Prince Ea,male,https://en.wikipedia.org/wiki/Prince_Ea,"Hip hop music, Conscious hip hop, Political hip hop, Underground hip hop, Alternative hip hop"
22916,Alan Rankine,male,https://en.wikipedia.org/wiki/Alan_Rankine,"Post-punk, New wave music, Dance-pop"
22917,Kathryn Beaumont,female,none,none
22918,Linda de Suza,female,https://en.wikipedia.org/wiki/Linda_de_Suza,"Folk music, Fado, Pop music"
22919,Laura Cantrell,female,https://en.wikipedia.org/wiki/Laura_Cantrell,"Alt Country, Singer-Songwriter, Independent music"
22920,Kenny Gradney,male,https://en.wikipedia.org/wiki/Kenny_Gradney,"Southern rock, R&amp;B, Jazz fusion, Funk, Folk music, Swamp rock"
22921,Caitlin Stasey,female,none,none
22922,Brad Vee Johnson,male,none,none
22923,Nick Lachey,male,https://en.wikipedia.org/wiki/Nick_Lachey,"Pop rock, Contemporary R&amp;B"
22924,John Mooney,male,https://en.wikipedia.org/wiki/John_Mooney_(musician),"Blues, Delta blues, Rhythm and blues"
22925,Johnny Hickman,male,https://en.wikipedia.org/wiki/Johnny_Hickman,"Alternative rock, Country music, Country rock, Southern rock, Roots rock, Blues"
22926,Jean-Marc Jafet,male,none,none
22927,Cris Kirkwood,male,https://en.wikipedia.org/wiki/Cris_Kirkwood,"Alternative rock, Punk rock"
22928,Ella Mai,female,https://en.wikipedia.org/wiki/Ella_Mai,"Contemporary R&amp;B, Hip Hop music, Pop music"
22929,Robin S.,female,https://en.wikipedia.org/wiki/Robin_S.,"House music, Urban contemporary, Dance-pop, Gospel music, Jazz"
22930,Nyanda,female,https://en.wikipedia.org/wiki/Nyanda,"Reggae, Dancehall, Reggae fusion"
22931,Alis Lesley,female,none,none
22932,Heather Park,female,none,none
22933,Dale Oliver,male,https://en.wikipedia.org/wiki/Dale_Oliver,"Contemporary Christian music, Christian rock, Country music, Music in professional wrestling, Alternative rock"
22934,Kathy Kelly,female,https://en.wikipedia.org/wiki/Kathy_Kelly_(musician),"Pop music, Folk music, Rock music"
