,artist,retrieved,gender,genre
254,Swing Out Sister,Swing Out Sister,female,"['new romantic', 'new wave pop']"
255,D'arcy Wretzky,none,none,none
256,Kembra Pfahler,Kembra Pfahler,female,[]
257,My Life With The Thrill Kill Kult,My Life With The Thrill Kill Kult,female,"['ebm', 'electro-industrial', 'industrial', 'industrial metal', 'industrial rock']"
258,Jessica Bailiff,Jessica Bailiff,female,['slow core']
259,Mojave 3,Mojave 3,female,"['dream pop', 'noise pop', 'slow core']"
260,Jenny Hoyston,Jenny Hoyston,female,[]
261,Honky Tonk Confidential,Honky Tonk Confidential,female,[]
262,Izïa,Izïa,female,"['french indie pop', 'french indietronica', 'french rock', 'nouvelle chanson francaise']"
263,No Doubt,No Doubt,female,"['alternative rock', 'dance pop', 'permanent wave', 'pop rock', 'post-grunge']"
264,Rebecca Moore,Rebecca Moore,female,[]
265,Andrea Echeverri,Andrea Echeverri,female,"['latin alternative', 'rock en espanol']"
266,Sky Ferreira,Sky Ferreira,female,"['art pop', 'candy pop', 'dance pop', 'electropop', 'escape room', 'indie pop', 'indietronica', 'la indie', 'metropopolis', 'neo-synthpop', 'pop']"
267,Allison Wolfe,none,none,none
268,Chantal Kreviazuk,Chantal Kreviazuk,female,"['canadian pop', 'candy pop', 'ectofolk', 'lilith', 'new wave pop', 'piano rock', 'pop rock']"
269,Zola Jesus,Zola Jesus,female,"['art pop', 'chamber psych', 'experimental pop', 'grave wave', 'metropopolis', 'neo-synthpop', 'noise pop', 'witch house']"
270,Şebnem Ferah,Şebnem Ferah,female,"['turkish pop', 'turkish rock']"
271,Cocteau Twins,Cocteau Twins,female,"['alternative rock', 'art pop', 'art rock', 'chamber psych', 'dance rock', 'dream pop', 'ethereal wave', 'melancholia', 'new wave', 'new wave pop', 'noise pop', 'post-punk', 'scottish indie', 'shoegaze', 'slow core']"
272,Butt Trumpet,none,none,none
273,Lisa Lobsinger,Lisa Lobsinger,female,[]
274,Julianne Regan,Julianne Regan,female,[]
275,Özlem Tekin,Özlem Tekin,female,"['karadeniz halk muzigi', 'turkish pop', 'turkish rock']"
276,Etta James,Etta James,female,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']"
277,Terri Nunn,Terri Nunn,female,[]
278,Miley Cyrus,Miley Cyrus,female,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
279,Louise Post,Louise Post,female,[]
280,Grace Potter,Grace Potter,female,[]
281,Hayley Williams,Hayley Williams,female,['indie poptimism']
282,Devics,Devics,female,[]
283,Chi Coltrane,Chi Coltrane,female,['nederpop']
284,Eels,Eels,female,"['alternative rock', 'garage rock', 'melancholia']"
285,Annie Hardy,Annie Hardy,female,[]
286,Christine McVie,Christine McVie,female,"['mellow gold', 'soft rock', 'yacht rock']"
287,Immaculate Machine,Immaculate Machine,female,"['vancouver indie', 'victoria bc indie']"
288,Karen Carpenter,Karen Carpenter,female,[]
289,Queenadreena,Queenadreena,female,['slayer']
290,The Julie Ruin,The Julie Ruin,female,"['olympia wa indie', 'riot grrrl']"
291,Charmaine Brooks,Charmaine Brooks,female,[]
292,Michie Nakatani,none,none,none
293,Ladyhawke,Ladyhawke,female,"['alternative dance', 'dance-punk', 'electropop', 'indietronica', 'metropopolis', 'neo-synthpop', 'new rave']"
294,Christy Hemme,Christy Hemme,female,['wrestling']
295,PJ Harvey,PJ Harvey,female,"['alternative rock', 'art pop', 'art rock', 'chamber pop', 'chamber psych', 'garage rock', 'indie rock', 'melancholia', 'permanent wave', 'piano rock', 'rock', 'singer-songwriter']"
296,Cherie Currie,Cherie Currie,female,[]
297,Lavender Diamond,Lavender Diamond,female,"['etherpop', 'la indie']"
298,Geraldine Fibbers,The Geraldine Fibbers,female,[]
299,Jen Trynin,Jennifer Trynin,female,"['alternative pop', 'boston rock', 'lilith']"
300,The Dø,The Doors,female,"['acid rock', 'album rock', 'classic rock', 'piano rock', 'psychedelic rock', 'rock']"
301,Kaliopi,Kaliopi,female,"['eurovision', 'macedonian pop']"
302,Wendy Melvoin,Wendy Melvoin,female,[]
303,June Millington,June Millington,female,[]
304,Rachael Yamagata,Rachael Yamagata,female,"['acoustic pop', 'lilith']"
305,Rachel Sweet,Rachel Sweet,female,[]
306,The Ronettes,The Ronettes,female,"['adult standards', 'brill building pop', 'classic girl group', 'motown']"
307,Jill Sobule,Jill Sobule,female,"['ectofolk', 'folk', 'lilith']"
308,Suzi Gardner,none,none,none
309,Jemma Griffiths,none,none,none
310,Grace Slick,Grace Slick,female,['psychedelic rock']
311,We Are The In Crowd,We Are The In Crowd,female,"['candy pop', 'neon pop punk', 'pixie', 'pop emo', 'pop punk']"
312,Mary Lou Lord,Mary Lou Lord,female,"['alternative pop', 'boston rock', 'lilith']"
313,Bat for Lashes,Bat For Lashes,female,"['alternative dance', 'art pop', 'brighton indie', 'chamber pop', 'chamber psych', 'dream pop', 'electronica', 'electropop', 'etherpop', 'experimental pop', 'indie pop', 'indie rock', 'indietronica', 'metropopolis', 'neo-synthpop', 'new rave']"
314,Little Annie,Little annie,female,['dark cabaret']
315,Orenda Fink,Orenda Fink,female,"['alabama indie', 'omaha indie']"
316,The Muffs,The Muffs,female,"['alternative pop', 'alternative rock', 'power-pop punk', 'riot grrrl']"
317,Belinda Carlisle,Belinda Carlisle,female,"['dance pop', 'dance rock', 'europop', 'new romantic', 'new wave pop', 'pop rock', 'soft rock']"
318,Renaissance,Love Renaissance (LVRN),female,[]
319,Lydia Lunch,Lydia Lunch,female,['no wave']
320,The Creatures,The Creatures,female,[]
321,Azalia Snail,Azalia Snail,female,[]
322,Adickdid,Adickdid,female,['riot grrrl']
323,The Escorts,The Escorts,female,['classic soul']
324,Show-Ya,SHOW-YA,female,"['j-metal', 'japanese heavy metal']"
325,Carla Bozulich,Carla Bozulich,female,['freak folk']
326,Dub Narcotic Sound System,Dub Narcotic Sound System,female,['olympia wa indie']
327,Britta Phillips,Britta Phillips,female,[]
328,Tracy Chapman,Tracy Chapman,female,"['folk', 'lilith', 'pop rock', 'singer-songwriter']"
329,Halestorm,Halestorm,female,"['alternative metal', 'nu metal', 'post-grunge']"
330,Lacey Sturm,Lacey Sturm,female,"['christian rock', 'pixie', 'pop emo', 'slayer']"
