,artist,gender,retrieved,genre
11243,Morrissey,male,https://en.wikipedia.org/wiki/Morrissey,"['alternative rock', 'indie pop', 'indie rock', 'jangle pop']"
11244,Allison Hossack,female,none,none
11245,Pia Toscano,female,https://en.wikipedia.org/wiki/Pia_Toscano,['pop']
11246,Julie Byrne,female,https://en.wikipedia.org/wiki/Julie_Byrne,['indie folk']
11247,David Arthur Brown,male,none,none
11248,Biel Ballester,male,https://en.wikipedia.org/wiki/Biel_Ballester,['gypsy jazz']
11249,David Hilker,male,none,none
11250,Becky Hobbs,female,https://en.wikipedia.org/wiki/Becky_Hobbs,"['country', 'honky tonk']"
11251,David Braham,male,none,none
11252,Lauren Wood,female,none,none
11253,Snoop Dogg,male,https://en.wikipedia.org/wiki/Snoop_Dogg,"['hip hop', 'funk', 'gangsta rap', 'reggae']"
11254,John Reis,male,https://en.wikipedia.org/wiki/John_Reis,"['punk rock', 'alternative rock', 'rock and roll', 'post-hardcore']"
11255,Grady Avenell,male,https://en.wikipedia.org/wiki/Grady_Avenell,"['noise rock', 'sludge metal', 'noisecore', 'alternative metal']"
11256,Stonewall Jackson,male,https://en.wikipedia.org/wiki/Stonewall_Jackson_(musician),"['country', 'honky-tonk']"
11257,Buddy Red Bow,male,none,none
11258,Loleatta Holloway,female,https://en.wikipedia.org/wiki/Loleatta_Holloway,"['disco', 'soul', 'gospel', 'dance', 'garage']"
11259,Leah Haywood,female,https://en.wikipedia.org/wiki/Leah_Haywood,"['pop', 'pop rock', 'dance-pop', 'electropop', 'hip hop']"
11260,Faris Badwan,male,https://en.wikipedia.org/wiki/Faris_Badwan,"['neo-psychedelia', 'post-punk revival', 'shoegazing', 'garage rock revival', 'alternative rock', 'classical']"
11261,Richard Dobson,male,https://en.wikipedia.org/wiki/Richard_Dobson,"['country', 'folk']"
11262,Mac Wiseman,male,https://en.wikipedia.org/wiki/Mac_Wiseman,"['bluegrass', 'country']"
11263,Julie Masse,female,https://en.wikipedia.org/wiki/Julie_Masse,['pop music']
11264,Earl Sweatshirt,male,https://en.wikipedia.org/wiki/Earl_Sweatshirt,"['hip hop', 'alternative hip hop']"
11265,Noah Mintz,male,https://en.wikipedia.org/wiki/Noah_Mintz,['rock']
11266,La'Porsha Renae,female,https://en.wikipedia.org/wiki/La'Porsha_Renae,"['soul', 'r&b']"
11267,Flo V. Schwarz,male,https://en.wikipedia.org/wiki/Flo_V._Schwarz,"['gothic metal', 'heavy metal', 'death metal', 'punk rock']"
11268,Miranda Lee Richards,female,none,none
11269,Anttix,male,https://en.wikipedia.org/wiki/Anttix,['pop']
11270,Phil Roy,male,https://en.wikipedia.org/wiki/Phil_Roy,"['pop', 'rock']"
11271,Ann Magnuson,female,none,none
11272,Jeff Redd,male,https://en.wikipedia.org/wiki/Jeff_Redd,"['new jack swing', 'r&b']"
11273,Lady Gaga,female,https://en.wikipedia.org/wiki/Lady_Gaga,"['pop', 'dance', 'electronic']"
11274,Baby Dayliner,male,none,none
11275,Jodie Resther,female,https://en.wikipedia.org/wiki/Jodie_Resther,"['r&b', 'soul', 'french pop']"
11276,Guy Mitchell,male,https://en.wikipedia.org/wiki/Guy_Mitchell,"['big band', 'traditional pop', 'rock and roll', 'country']"
11277,Graciela,female,https://en.wikipedia.org/wiki/Graciela,['latin jazz']
11278,George Pettit,male,https://en.wikipedia.org/wiki/George_Pettit,"['post-hardcore', 'punk rock', 'hardcore punk', 'melodic hardcore']"
11279,Ras Kass,male,https://en.wikipedia.org/wiki/Ras_Kass,['hip hop']
11280,Tasmin Archer,female,https://en.wikipedia.org/wiki/Tasmin_Archer,"['pop', 'rock']"
11281,Parker Lundgren,male,https://en.wikipedia.org/wiki/Parker_Lundgren,"['progressive metal', 'punk rock']"
11282,Pete Doherty,male,https://en.wikipedia.org/wiki/Pete_Doherty,"['indie rock', 'post-punk revival', 'garage rock revival']"
11283,Thor Eisentrager,male,https://en.wikipedia.org/wiki/Thor_Eisentrager,"['noise rock', 'punk blues']"
11284,Stefano Rosso,male,https://en.wikipedia.org/wiki/Stefano_Rosso,"['rock', 'light rock']"
11285,Brandon Bell,male,none,none
11286,Gillian Lewis,female,none,none
11287,Sarah Masen,female,none,none
11288,Deborah Holland,female,https://en.wikipedia.org/wiki/Deborah_Holland,"['pop', 'rock', 'folk']"
11289,Cisco Houston,male,https://en.wikipedia.org/wiki/Cisco_Houston,['folk']
11290,Glenn Tilbrook,male,https://en.wikipedia.org/wiki/Glenn_Tilbrook,"['new wave', 'power pop']"
11291,Julie Rayne,female,none,none
