,artist,retrieved,gender,genre
245,Thunderpussy,Thunderpussy,female,"['modern hard rock', 'seattle indie']"
246,The Gymslips,The Gymslips,female,[]
247,Blue Rose,Blue Rose Code,female,"['scottish americana', 'uk americana']"
248,The Prettiots,The Prettiots,female,[]
249,The Faders,The Faders,female,['deep acoustic pop']
250,Tiktak,TikTak,female,[]
251,Dickless,Dickless Tracy,female,['slovenian metal']
252,Red Molly,Red Molly,female,['folk']
253,Klymaxx,Klymaxx,female,"['freestyle', 'funk', 'minneapolis sound', 'new jack swing', 'post-disco', 'quiet storm', 'urban contemporary']"
254,Ivy Lies,Ivy Lies,female,[]
255,Doll Skin,Doll Skin,female,"['phoenix indie', 'slayer']"
256,Fanny,Fanny Lu,female,"['colombian pop', 'cumbia', 'ecuadorian pop', 'latin', 'latin pop', 'latin viral pop', 'pop reggaeton', 'tropical']"
257,Sick of Sarah,Sick Of Sarah,female,[]
258,Precious Metal,Precious Metals,female,[]
259,Chicks on SpeedChildbirth,none,none,none
260,Kleenex,Kleenex,female,"['dance-punk', 'experimental rock', 'no wave', 'post-punk', 'riot grrrl', 'twee pop', 'uk post-punk']"
261,Aly & AJ,Aly & AJ,female,"['dance pop', 'electropop', 'girl group', 'indie poptimism', 'neo mellow', 'pop', 'post-teen pop']"
262,Uncle Earl,Uncle Earl,female,"['appalachian folk', 'bluegrass', 'modern old-time', 'old-time', 'progressive bluegrass', 'string band']"
263,Azure Ray,Azure Ray,female,"['dream pop', 'indie pop', 'omaha indie']"
264,Marsheaux,Marsheaux,female,"['electropop', 'futurepop', 'neo-synthpop']"
265,Peaness,Peaness,female,[]
266,Band-Maid,BAND-MAID,female,"['alt-idol', 'idol rock', 'j-metal', 'j-pixie', 'kawaii metal']"
267,Fire Party,Fire Party,female,"['dc hardcore', 'emocore', 'post-hardcore']"
268,Skulker,Skulker,female,['australian alternative rock']
269,CocoRosie,CocoRosie,female,"['art pop', 'chamber pop', 'folktronica', 'freak folk', 'new weird america']"
270,Those Dancing Days,Those Dancing Days,female,"['metropopolis', 'stockholm indie']"
271,Phantom Blue,Phantom Blues Band,female,"['electric blues', 'modern blues', 'power blues-rock']"
272,Stealing Sheep,Stealing Sheep,female,"['chamber psych', 'liverpool indie', 'shimmer pop', 'stomp and holler']"
273,Stereopony,Stereopony,female,"['j-poprock', 'okinawan pop']"
274,The Feminine Complex,The Feminine Complex,female,[]
275,Ivy Benson All Girls Band,none,none,none
276,Super Heroines,Super Heroines,female,"['deathrock', 'gothic rock']"
277,Dream Nails,Dream Nails,female,['london indie']
278,BeBe K'Roche,none,none,none
279,Betty Boop,Betty Boop,female,[]
280,The Black Belles,The Black Belles,female,['garage rock']
281,Vivian Girls,Vivian Girls,female,"['brooklyn indie', 'garage psych', 'indie punk', 'noise pop', 'noise rock', 'nu gaze', 'riot grrrl', 'twee pop']"
282,Pussy Riot,Pussy Riot,female,"['russian indie', 'russian punk']"
283,Dead Disco,Dead as Disco,female,[]
284,Otoboke Beaver,Otoboke Beaver,female,"['j-punk', 'japanese girl punk', 'japanese pop punk', 'japanese punk rock']"
285,Girlpool,Girlpool,female,"['anti-folk', 'art pop', 'indie pop', 'indie punk', 'indie rock']"
286,Mika Miko,Mika Miko,female,['riot grrrl']
287,Big Joanie,Big Joanie,female,"['queercore', 'riot grrrl']"
288,Spitboy,Spitboy,female,[]
289,Scandal,SCANDAL,female,"['anime', 'idol rock', 'j-poprock']"
290,The Tuts,The Tuts,female,"['indie punk', 'indie surf']"
291,Halo Friendlies,Halo Friendlies,female,"['candy pop', 'power-pop punk']"
292,Scissor Girls,The Scissor Girls,female,"['chicago punk', 'no wave', 'noise punk']"
293,The Like,The Guy Who Didn't Like Musicals Cast,female,[]
294,Switchblade Symphony,Switchblade Symphony,female,"['dark wave', 'ethereal wave', 'gothic rock', 'neoclassical', 'steampunk']"
295,Y Pants,Kimya Dawson & Antsy Pants,female,[]
296,The Heart Beats,The Heartbreak Kid Beats,female,[]
297,The Pack A.D.,The Pack a.d.,female,"['canadian garage rock', 'garage rock', 'modern blues rock', 'punk blues', 'vancouver indie']"
298,September Girls,September Girls,female,['noise pop']
299,Tegan and Sara,Tegan and Sara,female,"['canadian indie', 'dance pop', 'indie pop', 'indie poptimism', 'indietronica', 'lilith', 'metropopolis', 'permanent wave', 'pop rock']"
300,Gito Gito Hustler,Gitogito Hustler,female,"['j-punk', 'japanese girl punk']"
301,Bond,Los Bondadosos,female,"['banda', 'grupera', 'gruperas inmortales']"
302,Poussez Posse,none,none,none
303,The Holy Sisters of the Gaga Dada,none,none,none
304,Indica,Durand Jones & The Indications,female,['funk']
305,Lungleg,Lungleg,female,"['riot grrrl', 'scottish indie']"
306,Candy,Brooke Candy,female,"['art pop', 'dance pop', 'electropop', 'escape room', 'hyperpop', 'lgbtq+ hip hop', 'pop', 'strut', 'trap queen']"
307,Vanilla Ninja,Vanilla Ninja,female,"['bubblegum dance', 'estonian pop']"
308,Astarte,Astarte,female,"['black metal', 'greek metal', 'melodic black metal', 'slayer', 'symphonic black metal']"
309,Frau,Harry Fraud,female,[]
310,The Applicators,The Applicators,female,['texas pop punk']
