,artist,gender,retrieved,genre
1752,Grace Slick,female,https://en.wikipedia.org/wiki/Grace_Slick,"['Psychedelic rock', 'Acid rock', 'Hard rock', 'Blues rock', 'Pop music']"
1753,Lolita Pop,female,https://en.wikipedia.org/wiki/Lolita_Pop,[]
1754,Vixen,female,https://en.wikipedia.org/wiki/Vixen_(band),"['Glam metal', 'Hard rock', 'Pop rock']"
1755,Razika,female,https://en.wikipedia.org/wiki/Razika,"['Indie rock', 'Pop music']"
1756,Josie Cotton,female,https://en.wikipedia.org/wiki/Josie_Cotton,"['Pop rock', 'New wave music']"
1757,Grey DeLisle,female,https://en.wikipedia.org/wiki/Grey_DeLisle,"['Country music', 'Electronica']"
1758,Sonya Isaacs,female,https://en.wikipedia.org/wiki/Sonya_Isaacs,"['Country music', 'Southern Gospel']"
1759,Addison Road,female,https://en.wikipedia.org/wiki/Addison_Road_(band),"['Christian rock', 'Contemporary Christian music', 'Alternative rock', 'Rock music']"
1760,The Heart Beats,female,none,none
1761,Supercute!,female,https://en.wikipedia.org/wiki/Supercute!,"['Acoustic music', 'Anti-folk', 'Indie rock', 'Psychedelic pop']"
1762,Donna Godchaux,female,https://en.wikipedia.org/wiki/Donna_Godchaux,"['Rock music', 'Folk music', 'Psychedelic music']"
1763,Doreen Taylor,female,https://en.wikipedia.org/wiki/Doreen_Taylor,['Adult contemporary music']
1764,Gillian Welch,female,none,none
1765,Linda Hargrove,female,https://en.wikipedia.org/wiki/Linda_Hargrove,['Country music']
1766,Laura Bryna,female,https://en.wikipedia.org/wiki/Laura_Bryna,['Country music']
1767,Karen Taylor-Good,female,https://en.wikipedia.org/wiki/Karen_Taylor-Good,['Country music']
1768,Joanna Janét,female,https://en.wikipedia.org/wiki/Joanna_Janét,['Country music']
1769,Cindy Wilson,female,https://en.wikipedia.org/wiki/Cindy_Wilson,"['New wave music', 'Alternative rock']"
1770,Damone,female,https://en.wikipedia.org/wiki/Damone_(band),"['Hard rock', 'Power pop']"
1771,Kylie Minogue,female,https://en.wikipedia.org/wiki/Kylie_Minogue,"['Pop music', 'Dance music', 'Disco']"
1772,Beirut Slump,female,none,none
1773,Kim McLean,female,https://en.wikipedia.org/wiki/Kim_McLean,[]
1774,Coyote Sisters,female,none,none
1775,Mia Zapata,female,https://en.wikipedia.org/wiki/Mia_Zapata,"['Punk rock', 'Grunge']"
1776,The Pretenders,female,https://en.wikipedia.org/wiki/The_Pretenders,"['Rock music', 'Punk rock', 'New wave music']"
1777,Casey Weston,female,none,none
1778,Katy Moffatt,female,none,none
1779,Erase Errata,female,https://en.wikipedia.org/wiki/Erase_Errata,"['Post-punk revival', 'Alternative rock', 'Noise rock', 'Indie rock']"
1780,Alison Krauss,female,https://en.wikipedia.org/wiki/Alison_Krauss,"['Bluegrass music', 'Country music', 'Adult contemporary music', 'Rhythm and blues', 'Pop music']"
1781,Pat Bunch,female,https://en.wikipedia.org/wiki/Pat_Bunch,['Country music']
1782,Anita Cochran,female,https://en.wikipedia.org/wiki/Anita_Cochran,['Country music']
1783,Klymaxx,female,https://en.wikipedia.org/wiki/Klymaxx,"['Pop music', 'Contemporary R&amp;B', 'Dance-pop']"
1784,Megan Redmond,female,https://en.wikipedia.org/wiki/Megan_Redmond,"['Country music', 'Alternative music', 'Americana (music)']"
1785,Mindy McCready,female,https://en.wikipedia.org/wiki/Mindy_McCready,['Country music']
