index,artist,retrieved,genre
478,Ada Jones,https://en.wikipedia.org/wiki/Ada_Jones,"['Vocal music', 'Ragtime', 'Vaudeville']"
479,Jasmine Ash,https://en.wikipedia.org/wiki/Jasmine_Ash,['Pop music']
480,Jeff Tuttle,https://en.wikipedia.org/wiki/Jeff_Tuttle,"['Hardcore punk', 'Mathcore', 'Metalcore', 'Post-hardcore']"
481,Chris Carrabba,https://en.wikipedia.org/wiki/Chris_Carrabba,"['Alternative rock', 'Indie rock', 'Emo', 'Acoustic rock']"
482,Peter Pringle,https://en.wikipedia.org/wiki/Peter_Pringle,"['Pop music', 'Jazz', 'European classical music']"
483,Dora Bryan,none,none
484,Margie Bowes,https://en.wikipedia.org/wiki/Margie_Bowes,['Country music']
485,Justin King,none,none
486,Mary Ford,https://en.wikipedia.org/wiki/Mary_Ford,"['Gospel music', 'Western music (North America)', 'Country music', 'Pop music']"
487,Scott MacIntyre,https://en.wikipedia.org/wiki/Scott_MacIntyre,['Soft rock']
488,Paco Serrano,https://en.wikipedia.org/wiki/Paco_Serrano,['Flamenco music']
489,Ellen Christi,none,none
490,Orsa Lia,none,none
491,Juliette,none,none
492,Nina Nastasia,https://en.wikipedia.org/wiki/Nina_Nastasia,"['Folk music', 'Folk baroque']"
493,Prince Ea,https://en.wikipedia.org/wiki/Prince_Ea,"['Hip hop music', 'Conscious hip hop', 'Political hip hop', 'Underground hip hop', 'Alternative hip hop']"
494,Cee Cee Chapman,https://en.wikipedia.org/wiki/Cee_Cee_Chapman,['Country music']
495,Al Hodge,none,none
496,O.T. Genasis,https://en.wikipedia.org/wiki/O.T._Genasis,"['Hip hop music', 'Trap music']"
497,Jayne Casey,https://en.wikipedia.org/wiki/Jayne_Casey,"['Punk rock', 'New wave music', 'Synthpop', 'Post-punk']"
498,Cordell Reagon,https://en.wikipedia.org/wiki/Cordell_Reagon,['A cappella']
499,Rogers Stevens,https://en.wikipedia.org/wiki/Rogers_Stevens,"['Alternative rock', 'Folk rock', 'Psychedelic rock', 'Roots rock', 'Blues rock', 'Grunge']"
500,Stephanie McIntosh,https://en.wikipedia.org/wiki/Stephanie_McIntosh,['Pop rock']
501,Gus Chambers,https://en.wikipedia.org/wiki/Gus_Chambers,['Groove metal']
502,Miller Anderson,https://en.wikipedia.org/wiki/Miller_Anderson_(musician),"['Blues music', 'Glam rock', 'Folk rock']"
503,Andrew Bodnar,none,none
504,Kristoff Krane,https://en.wikipedia.org/wiki/Kristoff_Krane,['Rap']
505,Dar Williams,https://en.wikipedia.org/wiki/Dar_Williams,"['Folk music', 'Folk music', 'Alternative country', 'Singer-songwriter']"
506,Prodigy,https://en.wikipedia.org/wiki/Prodigy_(rapper),['Hip hop music']
507,Valerie Carter,https://en.wikipedia.org/wiki/Valerie_Carter,"['Rock and roll', 'Soul music', 'R&amp;B', 'Folk rock', 'Country rock']"
508,Sonika Vaid,none,none
509,Giulietta,https://en.wikipedia.org/wiki/Giulietta_(singer),"['Contemporary R&amp;B', 'Hip hop music']"
510,Kat Nestel,https://en.wikipedia.org/wiki/Kat_Nestel,"['Pop music', 'Rock music']"
511,Lisa Hall,https://en.wikipedia.org/wiki/Lisa_Hall_(musician),"['Pop music', 'Rock music', 'Trip hop', 'Electronic music']"
512,Halston Sage,none,none
513,Phillip Scott,none,none
514,Nina Inhammar,none,none
515,Tuva Novotny,none,none
516,Tony Babalu,https://en.wikipedia.org/wiki/Tony_Babalu,"['Rock and roll', 'Blues', 'Funk', 'Black music', 'Rhythm and blues']"
