artist,retrieved,gender,genre
Cocteau Twins,Cocteau Twins,female,"alternative rock, art pop, art rock, chamber psych, dance rock, dream pop, ethereal wave, melancholia, new wave, new wave pop, noise pop, post-punk, scottish indie, shoegaze, slow core"
Özlem Tekin,Özlem Tekin,female,"karadeniz halk muzigi, turkish pop, turkish rock"
Etta James,Etta James,female,"adult standards, jazz blues, soul, soul blues, torch song, vocal jazz"
Miley Cyrus,Miley Cyrus,female,"dance pop, pop, pop rap, post-teen pop"
Hayley Williams,Hayley Williams,female,indie poptimism
Chi Coltrane,Chi Coltrane,female,nederpop
Eels,Eels,female,"alternative rock, garage rock, melancholia"
Christine McVie,Christine McVie,female,"mellow gold, soft rock, yacht rock"
Immaculate Machine,Immaculate Machine,female,"vancouver indie, victoria bc indie"
Queenadreena,Queenadreena,female,slayer
The Julie Ruin,The Julie Ruin,female,"olympia wa indie, riot grrrl"
Ladyhawke,Ladyhawke,female,"alternative dance, dance-punk, electropop, indietronica, metropopolis, neo-synthpop, new rave"
Christy Hemme,Christy Hemme,female,wrestling
PJ Harvey,PJ Harvey,female,"alternative rock, art pop, art rock, chamber pop, chamber psych, garage rock, indie rock, melancholia, permanent wave, piano rock, rock, singer-songwriter"
Lavender Diamond,Lavender Diamond,female,"etherpop, la indie"
Jen Trynin,Jennifer Trynin,female,"alternative pop, boston rock, lilith"
The Dø,The Doors,female,"acid rock, album rock, classic rock, piano rock, psychedelic rock, rock"
Kaliopi,Kaliopi,female,"eurovision, macedonian pop"
Rachael Yamagata,Rachael Yamagata,female,"acoustic pop, lilith"
The Ronettes,The Ronettes,female,"adult standards, brill building pop, classic girl group, motown"
Jill Sobule,Jill Sobule,female,"ectofolk, folk, lilith"
Grace Slick,Grace Slick,female,psychedelic rock
We Are The In Crowd,We Are The In Crowd,female,"candy pop, neon pop punk, pixie, pop emo, pop punk"
Mary Lou Lord,Mary Lou Lord,female,"alternative pop, boston rock, lilith"
Bat for Lashes,Bat For Lashes,female,"alternative dance, art pop, brighton indie, chamber pop, chamber psych, dream pop, electronica, electropop, etherpop, experimental pop, indie pop, indie rock, indietronica, metropopolis, neo-synthpop, new rave"
Little Annie,Little annie,female,dark cabaret
Orenda Fink,Orenda Fink,female,"alabama indie, omaha indie"
The Muffs,The Muffs,female,"alternative pop, alternative rock, power-pop punk, riot grrrl"
Belinda Carlisle,Belinda Carlisle,female,"dance pop, dance rock, europop, new romantic, new wave pop, pop rock, soft rock"
Lydia Lunch,Lydia Lunch,female,no wave
Adickdid,Adickdid,female,riot grrrl
The Escorts,The Escorts,female,classic soul
Show-Ya,SHOW-YA,female,"j-metal, japanese heavy metal"
Carla Bozulich,Carla Bozulich,female,freak folk
Dub Narcotic Sound System,Dub Narcotic Sound System,female,olympia wa indie
Tracy Chapman,Tracy Chapman,female,"folk, lilith, pop rock, singer-songwriter"
Halestorm,Halestorm,female,"alternative metal, nu metal, post-grunge"
Lacey Sturm,Lacey Sturm,female,"christian rock, pixie, pop emo, slayer"
Florence and the Machine,Florence + The Machine,female,"art pop, baroque pop, pop, uk alternative pop"
The Damned,The Damned,female,"alternative rock, dance rock, garage rock, gothic rock, hardcore punk, new wave, post-punk, pub rock, punk"
Sandra Nasic,Sandra Nasic,female,german alternative rock
Lolita Pop,Lolita Pop,female,"classic swedish pop, swedish post-punk"
Concrete Blonde,Concrete Blonde,female,lilith
Bette Bright,Bette Bright,female,deep new wave
Courtney Barnett,Courtney Barnett,female,"art pop, australian indie, chamber pop, indie pop, indie rock, melbourne indie"
Sleater-Kinney,Sleater-Kinney,female,"alternative pop, alternative rock, anti-folk, art pop, indie pop, indie punk, indie rock, lilith, noise pop, olympia wa indie, riot grrrl"
Tsunami Bomb,Tsunami Bomb,female,"punk, ska punk, skate punk"
Tonight Alive,Tonight Alive,female,"candy pop, neon pop punk, pixie, pop emo, pop punk"
Kelly Clarkson,Kelly Clarkson,female,"dance pop, neo mellow, pop, pop rock, post-teen pop, talent show, urban contemporary"
The Minders,The Minders,female,"baroque pop, e6fi, portland indie"
The Shangri-Las,The Shangri-Las,female,"brill building pop, classic girl group"
Baby Animals,Baby Animals,female,"australian alternative rock, australian rock"
Exene Cervenka,Exene Cervenka,female,cowpunk
Toronto,Toronto Symphony Orchestra,female,orchestra
Mother's Finest,Mother's Finest,female,funk rock
Haim,HAIM,female,"art pop, dance pop, indie pop, indietronica, metropopolis, pop, pop rock, rock"
Lush,Lush Rain Creators,female,environmental
Sandi Thom,Sandi Thom,female,"candy pop, scottish singer-songwriter"
Tift Merritt,Tift Merritt,female,"alternative country, ectofolk, folk, indie folk, lilith, new americana, outlaw country, roots rock, singer-songwriter"
band,Zac Brown Band,female,"contemporary country, country, country road, modern country rock"
Shakespears Sister,Shakespears Sister,female,"candy pop, new wave pop"
Bonnie Tyler,Bonnie Tyler,female,"europop, new wave pop, soft rock"
Katastrophy Wife,Katastrophy Wife,female,riot grrrl
Bette Midler,Bette Midler,female,"adult standards, mellow gold, new wave pop, soft rock"
Lita Ford,Lita Ford,female,"album rock, glam metal, hard rock, rock, sleaze rock"
Skeletal Family,Skeletal Family,female,"dark post-punk, dark wave, deathrock, gothic rock"
A Camp,Alex Campos,female,"latin christian, latin worship, mariachi cristiano"
Art in Manila,Art In Manila,female,omaha indie
Amy Macdonald,Amy Macdonald,female,"pop rock, scottish singer-songwriter"
Regina Spektor,Regina Spektor,female,"chamber pop, indie pop, lilith, piano rock, pop rock"
Sharleen Spiteri,Sharleen Spiteri,female,new wave pop
Heather Nova,Heather Nova,female,"lilith, new wave pop, pop rock"
Emmylou Harris,Emmylou Harris,female,"country rock, folk, folk rock, lilith, melancholia, mellow gold, roots rock, singer-songwriter, traditional folk"
Meg & Dia,Meg & Dia,female,"candy pop, pixie, pop emo"
The Dead Weather,The Dead Weather,female,"alternative rock, blues rock, garage rock, indie rock, modern alternative rock, modern blues rock, modern rock, punk blues, rock"
Tribe 8,Tribe 8,female,"queercore, riot grrrl"
Vanessa Amorosi,Vanessa Amorosi,female,"australian dance, australian pop"
Kim Carnes,Kim Carnes,female,"new wave pop, soft rock"
Saint Etienne,Saint Etienne,female,"art pop, britpop, chamber psych, dream pop, electronica, electropop, new wave pop"
Linda Perry,Linda Perry,female,lilith
