,artist,gender,category,retrieved,genre
5758,Lily Fayol,female,French_female_singers,Lily Fayol,['vintage chanson']
5759,Lily Frost,female,Canadian_female_pop_singers,Lily Frost,['deep acoustic pop']
5761,Limahl,male,English_male_singers,Limahl,"['new romantic', 'new wave', 'new wave pop']"
5763,Lina Hedlund,female,Swedish_female_singers,Lina Hedlund,['swedish pop']
5764,Lina Santiago,female,American_female_singers,Lina Santiago,['freestyle']
5765,Lincoln Durham,male,American_male_guitarists,Lincoln Durham,"['modern blues', 'modern blues rock']"
5766,Linda Bengtzing,female,Swedish_female_singers,Linda Bengtzing,"['europop', 'swedish pop']"
5767,Linda Chung,female,Canadian_female_pop_singers,Linda Chung,['cantopop']
5768,Linda Clifford,female,American_female_singers,Linda Clifford,"['deep disco', 'disco', 'post-disco']"
5769,Linda Davis,female,American_female_country_singers,Linda Davis,"['country dawn', 'deep contemporary country']"
5770,Linda Eder,female,American_female_pop_singers,Linda Eder,['show tunes']
5771,Linda George,female,Australian_female_pop_singers,Linda George,['assyrian pop']
5772,Linda Jo Rizzo,female,American_female_pop_singers,Linda Jo Rizzo,['italian disco']
5773,Linda Laurie,female,American_female_singers,Linda Laurie,['vintage swoon']
5774,Linda Lyndell,female,American_female_singers,Linda Lyndell,['memphis soul']
5776,Linda McCartney,female,American_female_singers,Linda McCartney,['classic uk pop']
5777,Linda McRae,female,Canadian_female_singers,Linda McRae,['canadian country']
5778,Linda Perhacs,female,American_female_singer-songwriters,Linda Perhacs,"['freak folk', 'new weird america', 'psychedelic folk']"
5779,Linda Perry,female,American_female_guitarists,Linda Perry,['lilith']
5780,Linda Pritchard,female,Swedish_female_singers,Linda Pritchard,['europop']
5781,Linda Ronstadt,female,American_female_country_singers,Linda Ronstadt,"['adult standards', 'country rock', 'folk', 'folk rock', 'heartland rock', 'lilith', 'mellow gold', 'singer-songwriter', 'soft rock', 'traditional folk']"
5782,Linda Scott,female,American_female_pop_singers,Linda Scott,['brill building pop']
5783,Linda Sundblad,female,Swedish_female_singers,Linda Sundblad,['europop']
5785,Lindi Ortega,female,Canadian_female_singers,Lindi Ortega,"['canadian contemporary country', 'canadian folk', 'canadian singer-songwriter', 'new americana', 'outlaw country']"
5786,Lindsay Broughton,female,Canadian_female_singers,Lindsay Broughton,['canadian contemporary country']
5787,Lindsay Ell,female,Canadian_female_singers,Lindsay Ell,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country pop']"
5788,Lindsay Lohan,female,American_female_pop_singers,Lindsay Lohan,"['dance pop', 'post-teen pop']"
5789,Lindsay Mendez,female,American_female_singers,Lindsay Mendez,"['broadway', 'show tunes']"
5790,Lindsey Buckingham,male,American_male_guitarists,Lindsey Buckingham,"['album rock', 'classic uk pop', 'mellow gold', 'soft rock']"
5791,Lindsey Haun,female,American_female_country_singers,Lindsey Haun,"['country', 'country dawn']"
5792,Lindsey Webster,female,American_female_jazz_singers,Lindsey Webster,['smooth soul']
5793,Line Renaud,female,French_female_singers,Line Renaud,"['vintage chanson', 'ye ye']"
5795,Link Wray,male,American_male_guitarists,Link Wray,"['cosmic american', 'folk rock', 'funk', 'garage rock', 'native american', 'protopunk', 'psychedelic rock', 'punk blues', 'rock-and-roll', 'rockabilly', 'surf music']"
5796,Linnea Henriksson,female,Swedish_female_singers,Linnea Henriksson,"['swedish alternative rock', 'swedish pop']"
5797,Linsey Alexander,male,American_male_guitarists,Linsey Alexander,"['chicago blues', 'electric blues']"
5798,Linus Svenning,male,Swedish_male_singers,Linus Svenning,['swedish idol pop']
5799,Lionel Bart,male,English_male_composers,Lionel Bart,['broadway']
5800,Lionel Monckton,male,English_male_composers,Lionel Monckton,['operetta']
5801,Lionel Richie,male,American_country_singers,Lionel Richie,"['adult standards', 'disco', 'mellow gold', 'motown', 'quiet storm', 'soft rock']"
5803,Lisa Ajax,female,Swedish_female_singers,Lisa Ajax,"['europop', 'melodipop', 'swedish idol pop', 'swedish pop']"
5804,Lisa Angelle,female,American_female_country_singers,Lisa Angelle,"['country dawn', 'deep contemporary country']"
5805,Lisa Bevill,female,American_female_pop_singers,Lisa Bevill,['german ccm']
5806,Lisa Brokop,female,Canadian_female_singers,Lisa Brokop,"['canadian country', 'country dawn', 'deep contemporary country']"
5807,Lisa Ekdahl,female,Swedish_female_singers,Lisa Ekdahl,"['classic swedish pop', 'swedish jazz', 'swedish pop']"
5808,Lisa Germano,female,Female_rock_singers,Lisa Germano,"['etherpop', 'melancholia', 'slow core']"
5809,Lisa Gerrard,female,Australian_female_singers,Lisa Gerrard,"['bow pop', 'ethereal wave', 'neoclassical', 'oceania soundtrack']"
5810,Lisa Hannigan,female,Irish_female_singers,Lisa Hannigan,"['chamber pop', 'irish singer-songwriter']"
5811,Lisa Hewitt,female,Canadian_female_singers,Lisa Hewitt,['canadian country']
5812,Lisa Kelly,female,Irish_female_singers,Lisa Kelly,"['celtic', 'operatic pop']"
5813,Lisa Kirk,female,American_female_singers,Lisa Kirk,['cabaret']
5814,Lisa Lavie,female,Canadian_female_pop_singers,Lisa Lavie,['canadian pop']
5815,Lisa Loeb,female,American_female_guitarists,Lisa Loeb,"['lilith', 'new wave pop', 'pop rock', 'singer-songwriter']"
5817,Lisa Maffia,female,English_female_rappers,Lisa Maffia,['uk garage']
5818,Lisa Mann,female,American_female_guitarists,Lisa Mann,['electric blues']
5819,Lisa Matassa,female,American_female_country_singers,Lisa Matassa,['modern country rock']
5820,Lisa McHugh,female,Irish_female_singers,Lisa McHugh,['irish country']
5821,Lisa Miskovsky,female,Swedish_female_singers,Lisa Miskovsky,"['europop', 'swedish pop']"
5822,Lisa Mitchell,female,Australian_female_pop_singers,Lisa Mitchell,"['australian indie', 'australian indie folk']"
5823,Lisa Moscatiello,female,American_female_singers,Lisa Moscatiello,['contemporary folk']
5824,Lisa Nilsson,female,Swedish_female_singers,Lisa Nilsson,"['classic swedish pop', 'swedish jazz', 'swedish pop', 'swedish soul']"
5825,Lisa Shaffer,female,American_female_country_singers,Lisa Shaffer,['country dawn']
5826,Lisa Shaw,female,Canadian_female_singers,Lisa Shaw,"['deep house', 'disco house', 'downtempo', 'vocal house']"
5827,Lisa Stansfield,female,English_female_pop_singers,Lisa Stansfield,"['british soul', 'disco', 'new wave pop', 'soft rock']"
5828,Lisette Melendez,female,American_female_singers,Lisette Melendez,['freestyle']
5829,Lissie,female,American_female_country_singers,Lissie,['folk-pop']
5830,Lita Ford,female,American_female_guitarists,Lita Ford,"['album rock', 'glam metal', 'hard rock', 'rock', 'sleaze rock']"
5831,Little Ann,female,African-American_female_singers,Little Ann,['traditional soul']
5832,Little Arthur Duncan,male,American_male_singers,Little Arthur Duncan,"['chicago blues', 'harmonica blues']"
5833,Little Axe,male,American_male_guitarists,Little Axe,['electric blues']
5834,Little Boots,female,English_female_pop_singers,Little Boots,"['alternative dance', 'art pop', 'dance pop', 'electroclash', 'electropop', 'indie poptimism', 'indietronica', 'neo-synthpop', 'new rave', 'strut']"
5835,Little Bruce,male,African-American_male_rappers,Little Bruce,['hyphy']
5836,Little Buddy Doyle,male,American_male_guitarists,Little Buddy Doyle,"['country blues', 'memphis blues']"
5837,Little Eva,female,African-American_female_singers,Little Eva,"['brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll']"
5838,Little Freddie King,male,American_male_guitarists,Little Freddie King,['delta blues']
5840,Little Hat Jones,male,American_male_guitarists,Little Hat Jones,"['texas blues', 'traditional blues']"
5841,Little Jimmy Dickens,male,American_country_singers,Little Jimmy Dickens,"['country gospel', 'traditional country']"
5842,Little Jimmy King,male,American_male_guitarists,Little Jimmy King,"['memphis blues', 'soul blues']"
5843,Little Jinder,female,Swedish_female_singers,Little Jinder,"['electropop', 'swedish electropop', 'swedish pop', 'swedish synthpop']"
5844,Little Johnny Jones,male,American_male_singers,Little Johnny Jones,"['chicago blues', 'piano blues']"
5845,Little Johnny Taylor,male,American_male_singers,Little Johnny Taylor,['soul blues']
5846,Little Mack Simmons,male,American_male_singers,Little Mack Simmons,"['blues-rock guitar', 'chicago blues', 'harmonica blues']"
5847,Little Milton,male,African-American_male_singers,Little Milton,"['blues', 'electric blues', 'memphis soul', 'soul', 'soul blues', 'southern soul']"
5848,Little Richard,male,African-American_male_singers,Little Richard,"['brill building pop', 'rock-and-roll', 'rockabilly', 'soul']"
5849,Little Simz,female,English_female_rappers,Little Simz,"['escape room', 'indie r&b', 'indie soul', 'trap queen', 'uk alternative hip hop']"
5850,Little Smokey Smothers,male,American_male_guitarists,Little Smokey Smothers,['chicago blues']
5851,Little Sonny,male,American_male_singers,Little Sonny,['harmonica blues']
5852,Little Sonny Jones,male,American_male_singers,Little Sonny Jones,"['louisiana blues', 'new orleans blues']"
5853,Little Walter,male,American_male_singers,Little Walter,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'harmonica blues', 'louisiana blues', 'traditional blues']"
5854,Little Willie John,male,African-American_male_singers,Little Willie John,"['rhythm and blues', 'rock-and-roll', 'soul', 'southern soul']"
5855,Livingston Taylor,male,American_male_singers,Livingston Taylor,['audiophile vocal']
5856,Livy Jeanne,female,Canadian_female_singers,Livy Jeanne,"['alberta country', 'canadian contemporary country', 'canadian country', 'country pop']"
5858,Liz Anderson,female,American_female_country_singers,Liz Anderson,['bakersfield sound']
5859,Liz Lands,female,African-American_female_singers,Liz Lands,['deep motown']
5860,Liz Lawrence,female,English_female_singer-songwriters,Liz Lawrence,['neo-singer-songwriter']
5861,Liz Mandeville,female,American_female_singer-songwriters,Liz Mandeville,"['blues-rock guitar', 'chicago blues']"
5862,Liz Phair,female,American_female_guitarists,Liz Phair,"['alternative pop', 'alternative rock', 'candy pop', 'folk', 'lilith', 'new wave pop', 'permanent wave', 'pop rock']"
5863,Liz Torres,female,American_female_singers,Liz Torres,"['chicago house', 'hip house', 'latin house']"
5864,Liza Minnelli,female,American_female_singers,Liza Minnelli,"['hollywood', 'show tunes']"
5865,Liza Pulman,female,English_female_singers,Liza Pulman,['cabaret']
5866,Lizzie Miles,female,American_female_singers,Lizzie Miles,['new orleans blues']
5867,Lizzy Mercier Descloux,female,French_female_singers,Lizzy Mercier Descloux,"['art rock', 'dance rock', 'dance-punk', 'experimental', 'experimental pop', 'experimental rock', 'french post-punk', 'no wave', 'post-punk']"
5868,Lloyd,male,African-American_male_singers,Lloyd,"['dance pop', 'deep pop r&b', 'hip pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
5869,Lloyd Banks,male,African-American_male_rappers,Lloyd Banks,"['gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'queens hip hop', 'rap', 'trap']"
5871,Lloyd Green,male,American_male_guitarists,Lloyd Green,['steel guitar']
5872,Lloyd Maines,male,American_male_guitarists,Lloyd Maines,['steel guitar']
5873,Lloyd Parks,male,Male_guitarists,Lloyd Parks,['rock steady']
5874,Lloyd Price,male,American_male_singers,Lloyd Price,"['adult standards', 'brill building pop', 'doo-wop', 'louisiana blues', 'memphis blues', 'new orleans blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
5875,Lloyd Spiegel,male,Australian_male_singers,Lloyd Spiegel,['australian blues']
5876,Loane,female,French_female_singers,Loane,['nouvelle chanson francaise']
5878,Lobão,male,Male_guitarists,Lobão,"['brazilian punk', 'brazilian rock', 'mpb', 'rock gaucho', 'rock nacional brasileiro']"
5879,Locksmith,male,African-American_male_rappers,Locksmith,"['conscious hip hop', 'deep underground hip hop']"
5880,Logan Brill,female,American_female_country_singers,Logan Brill,['country pop']
5881,Logan Henderson,male,American_male_singers,Logan Henderson,"['la pop', 'teen pop']"
5882,Logan Mize,male,American_country_singers,Logan Mize,"['contemporary country', 'country pop', 'country road', 'modern country rock', 'redneck']"
5883,Logic,male,African-American_male_rappers,Logic,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
5884,Loick Essien,male,English_male_singers,Loick Essien,['uk hip hop']
5886,Loleatta Holloway,female,African-American_female_singers,Loleatta Holloway,"['chicago house', 'disco', 'disco house', 'diva house', 'philly soul', 'post-disco', 'vocal house']"
5887,Lonesome Sundown,male,American_male_guitarists,Lonesome Sundown,"['louisiana blues', 'swamp blues']"
5888,Long John Baldry,male,English_male_singers,Long John Baldry,"['british blues', 'canadian blues']"
5889,Long John Hunter,male,American_male_guitarists,Long John Hunter,"['electric blues', 'texas blues']"
5890,Loni Ackerman,female,American_female_singers,Loni Ackerman,['cabaret']
5891,Lonnie Brooks,male,American_male_guitarists,Lonnie Brooks,"['blues', 'chicago blues', 'electric blues', 'louisiana blues', 'modern blues']"
5892,Lonnie Donegan,male,English_male_singers,Lonnie Donegan,"['classic uk pop', 'merseybeat', 'rock-and-roll', 'skiffle']"
5893,Lonnie Gordon,female,American_female_singers,Lonnie Gordon,"['diva house', 'hip house', 'vocal house']"
5894,Lonnie Johnson,male,American_male_guitarists,Lonnie Johnson,"['acoustic blues', 'blues', 'country blues', 'jazz blues', 'louisiana blues', 'memphis blues', 'new orleans blues', 'traditional blues']"
5895,Lonnie Mack,male,American_male_guitarists,Lonnie Mack,"['blues', 'blues rock', 'electric blues', 'modern blues', 'texas blues']"
