Id,Label,timeset,frequency,type,modularity_class,pageranks,eigencentrality
Debra_Arlyn,Debra_Arlyn,,3,Source,62,0.000039,0.021017
Otis_Grand,Otis_Grand,,1,Source,47,0.000019,0.003835
Kevin_Borich,Kevin_Borich,,2,Source,47,0.000029,0.012095
Richard_James_Burgess,Richard_James_Burgess,,2,Source,149,0.000026,0.0022
Jimmy_Reed,Jimmy_Reed,,1,Source,47,0.000019,0.003835
Taio_Cruz,Taio_Cruz,,4,Source,62,0.000051,0.026737
Bec_Hewitt,Bec_Hewitt,,2,Source,149,0.000028,0.01318
James_Ingram,James_Ingram,,3,Source,62,0.000038,0.025558
Melanie_Doane,Melanie_Doane,,2,Source,10,0.00003,0.020854
Ed_Wool,Ed_Wool,,1,Source,9,0.000018,0.001478
Annika_Norlin,Annika_Norlin,,1,Source,149,0.000019,0.001039
Todrick_Hall,Todrick_Hall,,5,Source,62,0.000059,0.027225
Hannah_Georgas,Hannah_Georgas,,1,Source,149,0.000019,0.001039
Barry_Manilow,Barry_Manilow,,2,Source,9,0.000029,0.013469
Sarah_Kelly,Sarah_Kelly,,2,Source,62,0.000028,0.00089
LaKiesha_Berri,LaKiesha_Berri,,1,Source,62,0.000019,0.007889
Treach,Treach,,2,Source,90,0.000035,0.004951
Lina_Hedlund,Lina_Hedlund,,2,Source,62,0.000031,0.01294
bengali,bengali,,6,; Target,50,0.000105,0.00088
Matthew_Stevens,Matthew_Stevens,,1,Source,47,0.00002,0.004197
Ian_M._Anderson,Ian_M._Anderson,,1,Source,149,0.000019,0.002045
Asia_Cruise,Asia_Cruise,,2,Source,62,0.000029,0.020482
Chip_Walbert,Chip_Walbert,,2,Source,10,0.000027,0.000517
Bella_Ferraro,Bella_Ferraro,,3,Source,149,0.000037,0.006991
Victor_Smolski,Victor_Smolski,,4,Source,31,0.000042,0.003055
Daryl_Johnson,Daryl_Johnson,,5,Source,149,0.000056,0.02213
Derek_George,Derek_George,,1,Source,143,0.000023,0.006931
Sebastian_J.,Sebastian_J.,,5,Source,50,0.000056,0.017307
Daphne_Willis,Daphne_Willis,,1,Source,62,0.000019,0.000203
Freddy_Cole,Freddy_Cole,,1,Source,47,0.00002,0.004197
Micky_Green,Micky_Green,,3,Source,10,0.000039,0.016973
